status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,0,True,True,-100.0,10.0,l1n linf,lt,0,1.0,0.9616
success,0,True,True,-10.0,100.0,l1n linf,gt,5,1.0,0.9616
success,-5,True,False,-10.0,100.0,l1 l1n,gt,0,1.0,0.9614
success,-5,True,False,-100.0,10.0,l1 l1n,lt,-5,1.0,0.9614
success,-5,True,True,-100.0,100.0,l1 l1n,gt,0,1.0,0.9614
success,-5,True,False,-10.0,100.0,l1 l1n,gt,5,1.0,0.9614
success,-5,True,True,-10.0,100.0,l1 l1n,lt,0,1.0,0.9614
success,-5,True,False,-100.0,100.0,l1 l1n,lt,0,1.0,0.9614
success,-5,True,False,-100.0,10.0,l1 l1n,gt,5,1.0,0.9614
success,-3,True,True,-100.0,100.0,l1 l1n linf,gt,0,1.0,0.9609
success,-4,True,True,-100.0,1.0,l1 l1n linf,gt,0,1.0,0.9609
success,-3,True,True,-10.0,1.0,l1 l1n linf,gt,5,1.0,0.9609
success,-4,True,False,-100.0,10.0,l1 linf,lt,-5,1.0,0.9609
success,-3,True,True,-100.0,1.0,l1 l1n linf,gt,5,1.0,0.9609
success,-3,True,True,-100.0,1.0,l1 l1n linf,lt,-5,1.0,0.9609
success,-3,True,True,-10.0,1.0,l1 l1n linf,lt,0,1.0,0.9609
success,-4,True,True,-100.0,100.0,l1 linf,gt,5,1.0,0.9609
success,-3,True,True,-10.0,10.0,l1 linf,lt,0,1.0,0.9609
success,-4,True,False,-100.0,100.0,l1 l1n linf,lt,0,1.0,0.9609
success,-4,True,True,-100.0,1.0,l1 l1n linf,gt,5,1.0,0.9609
success,-4,True,True,-10.0,100.0,l1 l1n linf,lt,0,1.0,0.9609
success,-3,True,False,-100.0,1.0,l1 linf,lt,-5,1.0,0.9609
success,-3,True,False,-100.0,100.0,l1 l1n linf,lt,-5,1.0,0.9609
success,-4,True,True,-100.0,1.0,l1 l1n linf,lt,0,1.0,0.9609
success,-3,True,True,-100.0,100.0,l1 linf,lt,0,1.0,0.9609
success,-3,True,True,-10.0,100.0,l1 linf,gt,0,1.0,0.9609
success,-4,True,False,-10.0,10.0,l1 linf,gt,0,1.0,0.9609
